timestamp,handle,text,avg_score
2025-06-15 00:32:16-04,@MFA_China,"RT by @MFA_China: 当玛雅文明遇上三星堆，拉美记者团:震撼不止于文物 When the Maya Civilization Meets Sanxingdui Latin American Journalists: The Shock Goes Beyond the Artifacts #三星堆 #拉美 #外国人在中国 #maya <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""zh"">当玛雅文明遇上三星堆，拉美记者团:震撼不止于文物<br />When the Maya Civilization Meets Sanxingdui<br />Latin American Journalists: The Shock Goes Beyond the Artifacts <a href=""https://twitter.com/hashtag/%E4%B8%89%E6%98%9F%E5%A0%86?src=hash&amp;ref_src=twsrc%5Etfw"">#三星堆</a> <a href=""https://twitter.com/hashtag/%E6%8B%89%E7%BE%8E?src=hash&amp;ref_src=twsrc%5Etfw"">#拉美</a> <a href=""https://twitter.com/hashtag/%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%9C%A8%E4%B8%AD%E5%9B%BD?src=hash&amp;ref_src=twsrc%5Etfw"">#外国人在中国</a> <a href=""https://twitter.com/hashtag/maya?src=hash&amp;ref_src=twsrc%5Etfw"">#maya</a> <a href=""https://t.co/LI0DTXp6t5"">pic.twitter.com/LI0DTXp6t5</a></p>— Amazing Sichuan (@SichuanAma85658) <a href=""https://twitter.com/SichuanAma85658/status/1934106660576043230?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.2387491647154093
2025-06-15 00:34:08-04,@lookonchain,"AguilaTrades(@AguilaTrades), the top trader on Bybit with $77.36M in profits over the past year, recently moved to Hyperliquid. But his first $BTC long there cost him $12.47M in losses. Now he is back to long $BTC with 20x leverage, with a position of 1,894 $BTC($200M). Can he… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">AguilaTrades(<a href=""https://twitter.com/AguilaTrades?ref_src=twsrc%5Etfw"">@AguilaTrades</a>), the top trader on Bybit with $77.36M in profits over the past year, recently moved to Hyperliquid.<br /><br />But his first <a href=""https://twitter.com/search?q=%24BTC&amp;src=ctag&amp;ref_src=twsrc%5Etfw"">$BTC</a> long there cost him $12.47M in losses.<br /><br />Now he is back to long <a href=""https://twitter.com/search?q=%24BTC&amp;src=ctag&amp;ref_src=twsrc%5Etfw"">$BTC</a> with 20x leverage, with a position of 1,894 <a href=""https://twitter.com/search?q=%24BTC&amp;src=ctag&amp;ref_src=twsrc%5Etfw"">$BTC</a>($200M).<br /><br />Can he… <a href=""https://t.co/noNz7LSycl"">pic.twitter.com/noNz7LSycl</a></p>— Lookonchain (@lookonchain) <a href=""https://twitter.com/lookonchain/status/1934107128924651550?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.12125178277492522
2025-06-15 01:21:00-04,@POTUS,"RT by @POTUS: “The U.S. had nothing to do with the attack on Iran, tonight. If we are attacked in any way, shape or form by Iran, the full strength and might of the U.S. Armed Forces will come down on you at levels never seen before. However, we can easily get a deal done between Iran and… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">“The U.S. had nothing to do with the attack on Iran, tonight. If we are attacked in any way, shape or form by Iran, the full strength and might of the U.S. Armed Forces will come down on you at levels never seen before. However, we can easily get a deal done between Iran and… <a href=""https://t.co/9F10xj1xU8"">pic.twitter.com/9F10xj1xU8</a></p>— The White House (@WhiteHouse) <a href=""https://twitter.com/WhiteHouse/status/1934118924427173969?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",-0.1316839523613453
2025-06-15 01:31:00-04,@narendramodi,"Birthday greetings to Shri Kishan Reddy Garu. A grassroots leader, he is at the forefront of strengthening the coal and mines sector, which are important to build a self-reliant India. Praying for his long and healthy life.@kishanreddybjp <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Birthday greetings to Shri Kishan Reddy Garu. A grassroots leader, he is at the forefront of strengthening the coal and mines sector, which are important to build a self-reliant India. Praying for his long and healthy life.<a href=""https://twitter.com/kishanreddybjp?ref_src=twsrc%5Etfw"">@kishanreddybjp</a></p>— Narendra Modi (@narendramodi) <a href=""https://twitter.com/narendramodi/status/1934121586241810734?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.30569405679901446
2025-06-15 01:34:00-04,@FinMinIndia,"India is the global leader in Fintech adoption. The Digital Payments Awards 2025 will celebrate this hard-earned feat by recognising the contribution of those who made it possible.#IndiaSwipesAhead #DigitalPaymentsAwards2025 <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">India is the global leader in Fintech adoption. <br /><br />The Digital Payments Awards 2025 will celebrate this hard-earned feat by recognising the contribution of those who made it possible.<a href=""https://twitter.com/hashtag/IndiaSwipesAhead?src=hash&amp;ref_src=twsrc%5Etfw"">#IndiaSwipesAhead</a> <a href=""https://twitter.com/hashtag/DigitalPaymentsAwards2025?src=hash&amp;ref_src=twsrc%5Etfw"">#DigitalPaymentsAwards2025</a> <a href=""https://t.co/3eLBZKVKFo"">pic.twitter.com/3eLBZKVKFo</a></p>— Ministry of Finance (@FinMinIndia) <a href=""https://twitter.com/FinMinIndia/status/1934122410325758457?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.3533965989947319
2025-06-15 02:00:00-04,@MMCrypto,"BITCOIN HOURLY W-REVERSAL. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">BITCOIN HOURLY W-REVERSAL. <a href=""https://t.co/g60qiad4YH"">pic.twitter.com/g60qiad4YH</a></p>— MMCrypto (@MMCrypto) <a href=""https://twitter.com/MMCrypto/status/1934128799332929709?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.19069855734705923
2025-06-15 02:13:00-04,@nsitharamanoffc,"Smt @nsitharaman visited an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh. She interacted with artisans, women-led SHGs and local entrepreneurs showcasing traditional crafts, handloom textiles and… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> visited an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh.<br /><br />She interacted with artisans, women-led SHGs and local entrepreneurs showcasing traditional crafts, handloom textiles and… <a href=""https://t.co/dp8j3DJXxQ"">pic.twitter.com/dp8j3DJXxQ</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934132173478801445?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.01940850478907426
2025-06-15 02:13:00-04,@FinMinIndia,"RT by @FinMinIndia: Smt @nsitharaman visited an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh. She interacted with artisans, women-led SHGs and local entrepreneurs showcasing traditional crafts, handloom textiles and… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> visited an exhibition of local handicrafts and handloom products by Self Help Groups (SHG) and Local Entrepreneurs in Leh, Ladakh.<br /><br />She interacted with artisans, women-led SHGs and local entrepreneurs showcasing traditional crafts, handloom textiles and… <a href=""https://t.co/dp8j3DJXxQ"">pic.twitter.com/dp8j3DJXxQ</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934132173478801445?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.030634827290972073
2025-06-15 02:14:00-04,@MFA_China,"RT by @MFA_China: Сайхан мэдээ байна✨ Хэдхэн минутын дотор хүсэлт гаргаж, явцыг бодит цагаар хянах боломжтой боллоо! 🇨🇳БНХАУ-аас Монгол Улсад суугаа Элчин сайдын яам 2025 оны 6-р сарын 30-ны өдөр Хятадын цахим визийн шинэ системийг албан ёсоор нээх гэж байна. Дэлгэрэнгүй мэдээллийг дараах… <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""ru"">Сайхан мэдээ байна✨ Хэдхэн минутын дотор хүсэлт гаргаж, явцыг бодит цагаар хянах боломжтой боллоо!<br />🇨🇳БНХАУ-аас Монгол Улсад суугаа Элчин сайдын яам 2025 оны 6-р сарын 30-ны өдөр Хятадын цахим визийн шинэ системийг албан ёсоор нээх гэж байна.<br />Дэлгэрэнгүй мэдээллийг дараах… <a href=""https://t.co/XQTGfvdIXv"">pic.twitter.com/XQTGfvdIXv</a></p>— Embassy of China in Mongolia (@cnembassyinmng) <a href=""https://twitter.com/cnembassyinmng/status/1934132287584838136?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.24380784705281258
2025-06-15 02:15:00-04,@nsitharamanoffc,"Smt @nsitharaman appreciated the entrepreneurial spirit and creativity of the artisans, highlighting their role in preserving cultural heritage and boosting rural livelihoods in the Union Territory. <blockquote class=""twitter-tweet""><p dir=""ltr"" lang=""en"">Smt <a href=""https://twitter.com/nsitharaman?ref_src=twsrc%5Etfw"">@nsitharaman</a> appreciated the entrepreneurial spirit and creativity of the artisans, highlighting their role in preserving cultural heritage and boosting rural livelihoods in the Union Territory. <a href=""https://t.co/hQBlknP2T3"">https://t.co/hQBlknP2T3</a> <a href=""https://t.co/q4WAK6bs3q"">pic.twitter.com/q4WAK6bs3q</a></p>— Nirmala Sitharaman Office (@nsitharamanoffc) <a href=""https://twitter.com/nsitharamanoffc/status/1934132613863637198?ref_src=twsrc%5Etfw"">June 15, 2025</a></blockquote>",0.31085215490311385
